00:00:00,1,4,20,1
00:00:00,2,7,4,1
00:00:00,3,7,14,1
00:00:00,4,7,3,1
00:00:00,5,1,1,1
00:00:00,6,10,11,1
00:00:00,7,2,7,1
00:00:00,8,3,6,1
00:00:01,9,1,10,1
00:00:01,10,10,19,1
00:00:01,11,8,7,1
00:00:01,12,10,2,1
00:00:01,13,2,6,1
00:00:01,14,7,8,1
00:00:01,15,3,10,1
00:00:01,16,10,12,1
00:00:01,17,7,17,0
00:00:02,18,7,13,1
00:00:02,19,10,5,1
00:00:02,20,8,16,1
00:00:02,21,1,12,1
00:00:02,22,4,17,1
00:00:02,23,1,20,1
00:00:02,24,3,20,1
00:00:02,25,1,8,1
00:00:02,26,9,10,1
00:00:02,27,4,19,1
00:00:04,28,8,9,1
00:00:04,29,3,7,1
00:00:04,30,6,1,1
00:00:04,31,2,4,1
00:00:04,32,4,4,1
00:00:04,33,2,20,0
00:00:04,34,8,3,0
00:00:04,35,2,20,1
00:00:04,36,3,17,1
00:00:04,37,2,17,0
00:00:04,38,4,9,1
00:00:04,39,2,4,0
00:00:04,40,1,7,1
00:00:04,41,3,5,1
00:00:04,42,5,18,1
00:00:04,43,6,10,1
00:00:04,44,1,11,1
00:00:04,45,4,2,1
00:00:04,46,9,7,1
00:00:04,47,3,15,1
00:00:05,48,10,16,1
00:00:05,49,7,18,1
00:00:05,50,7,11,1
00:00:05,51,8,15,1
00:00:05,52,1,1,0
00:00:05,53,4,10,0
00:00:05,54,2,17,1
00:00:05,55,1,17,0
00:00:05,56,6,11,1
00:00:05,57,5,20,0
00:00:06,58,2,16,0
00:00:06,59,4,5,0
00:00:06,60,4,4,0
00:00:06,61,1,3,1
00:00:06,62,4,6,1
00:00:06,63,7,14,0
00:00:06,64,3,10,0
00:00:06,65,5,19,1
00:00:06,66,7,7,1
00:00:06,67,3,4,1
00:00:07,68,5,6,1
00:00:09,69,10,15,1
00:00:09,70,1,12,0
00:00:09,71,9,6,0
00:00:09,72,1,20,0
00:00:09,73,7,2,1
00:00:09,74,1,18,1
00:00:09,75,1,11,0
00:00:09,76,4,1,1
